Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3DS,2013,RPG,0,0,1.51,0,1.51
3DS,2013,Platform,0.51,0.75,0.07,0.12,1.46
X360,2013,RPG,0.89,0.44,0,0.12,1.45
PC,2013,Simulation,0.48,0.77,0,0.19,1.44
PS3,2014,Shooter,0.33,0.79,0.08,0.23,1.44
PS3,2013,Racing,0.33,0.74,0.05,0.31,1.44
3DS,2013,RPG,0.07,0.04,1.3,0.01,1.42
X360,2013,Fighting,0.97,0.34,0,0.11,1.41
PS3,2014,Sports,1.07,0.15,0,0.19,1.41
PC,2013,Shooter,0.38,0.86,0,0.16,1.4
PS4,2016,Shooter,0.49,0.66,0.02,0.22,1.39
X360,2014,Shooter,0.87,0.38,0.02,0.11,1.38
XOne,2014,Racing,0.5,0.78,0.01,0.09,1.37
PS3,2014,Sports,0.86,0.27,0.02,0.22,1.36
3DS,2014,Platform,0.47,0.51,0.28,0.09,1.36
XOne,2015,Fighting,1,0.21,0,0.13,1.35
X360,2013,Platform,0.86,0.36,0,0.11,1.33
PS4,2013,Sports,0.89,0.31,0.01,0.12,1.33
PS3,2013,RPG,0.43,0.4,0.32,0.18,1.33
PS3,2014,RPG,0.4,0.36,0.4,0.17,1.32
PS3,2014,RPG,0.52,0.43,0.18,0.19,1.32
XOne,2015,Adventure,0.53,0.64,0.02,0.1,1.3
WiiU,2015,Platform,0.61,0.47,0.11,0.1,1.29
XOne,2015,Shooter,0.73,0.44,0,0.12,1.29
XOne,2015,RPG,0.77,0.38,0,0.12,1.27
PS3,2013,Fighting,0.48,0.53,0.01,0.23,1.25
XOne,2015,RPG,0.66,0.47,0,0.11,1.24
PC,2014,Simulation,0.08,1.02,0,0.13,1.23
PS4,2016,Sports,0.92,0.08,0,0.23,1.23
PC,2015,RPG,0.5,0.63,0,0.1,1.23
XOne,2015,Shooter,0.72,0.37,0.01,0.11,1.2
PS4,2015,Sports,0.41,0.6,0,0.19,1.2
PS3,2013,Sports,0.49,0.49,0,0.21,1.19
WiiU,2014,Puzzle,0.56,0.36,0.19,0.09,1.19
XOne,2013,Sports,0.41,0.66,0,0.12,1.19
PS4,2016,Sports,0.83,0.14,0,0.22,1.19
3DS,2015,RPG,0.46,0.31,0.33,0.08,1.19
PS4,2016,Platform,0.32,0.64,0.04,0.18,1.17
XOne,2015,Shooter,0.82,0.23,0,0.11,1.17
X360,2014,Shooter,0.51,0.54,0,0.1,1.16
PS4,2014,Sports,0.38,0.56,0,0.19,1.13
X360,2013,Sports,0.64,0.39,0,0.1,1.13
PS4,2014,Shooter,0.34,0.56,0.04,0.19,1.13
PS3,2013,RPG,0.36,0.33,0.28,0.15,1.12
XOne,2014,Shooter,0.62,0.4,0,0.08,1.11
WiiU,2013,Strategy,0.45,0.31,0.29,0.06,1.11
PS3,2013,RPG,0.31,0.22,0.45,0.12,1.1
WiiU,2013,Platform,0.47,0.4,0.13,0.08,1.08
X360,2013,Sports,1.01,0,0,0.06,1.07
PS3,2013,Platform,0.43,0.44,0,0.2,1.07
PS4,2016,Fighting,0.39,0.41,0.1,0.16,1.06
PS4,2015,Fighting,0.3,0.48,0.12,0.15,1.05
PS4,2015,Racing,0.17,0.69,0.02,0.15,1.04
PS4,2014,Sports,0.46,0.4,0.01,0.17,1.04
PS4,2014,Platform,0.21,0.61,0,0.18,1.01
PSV,2013,Shooter,0.25,0.49,0.04,0.22,1
PS3,2014,RPG,0.42,0.38,0,0.17,0.98
X360,2014,Shooter,0.45,0.44,0,0.08,0.98
X360,2015,Sports,0.82,0.05,0,0.1,0.98
PS4,2015,RPG,0.37,0.32,0.15,0.14,0.97
X360,2015,Sports,0.77,0.1,0,0.1,0.97
PSV,2013,RPG,0.21,0.31,0.28,0.16,0.97
PS3,2013,Fighting,0.32,0.33,0.15,0.15,0.96
X360,2014,RPG,0.57,0.3,0,0.08,0.95
PS4,2015,Shooter,0.35,0.41,0.05,0.15,0.95
WiiU,2016,Fighting,0.47,0.22,0.16,0.07,0.93
3DS,2013,Adventure,0.16,0.2,0.53,0.03,0.92
X360,2013,Shooter,0.51,0.33,0.01,0.08,0.92
PS4,2015,Sports,0.67,0.08,0,0.17,0.92
X360,2015,Adventure,0.46,0.38,0,0.08,0.91
XOne,2014,RPG,0.55,0.28,0,0.07,0.91
PS3,2013,Shooter,0.26,0.43,0.03,0.18,0.9
PC,2014,RPG,0.32,0.48,0,0.09,0.9
PS4,2016,Sports,0.28,0.47,0,0.14,0.89
WiiU,2013,Sports,0.39,0.24,0.21,0.06,0.89
XOne,2013,Sports,0.7,0.11,0,0.06,0.87
PS4,2013,Fighting,0.46,0.29,0,0.12,0.87
3DS,2015,RPG,0,0,0.86,0,0.86
X360,2014,Racing,0.35,0.43,0,0.07,0.85
PS3,2014,Sports,0.36,0.35,0,0.14,0.85
XOne,2016,Shooter,0.52,0.25,0,0.08,0.85
WiiU,2015,RPG,0.36,0.28,0.14,0.06,0.84
PS4,2015,Shooter,0.36,0.32,0.03,0.14,0.84
PSV,2014,Sports,0.13,0.48,0.04,0.19,0.84
X360,2013,Racing,0.37,0.38,0.01,0.08,0.84
PSV,2014,Shooter,0.43,0.21,0.01,0.19,0.83
XOne,2016,Sports,0.72,0.02,0,0.09,0.82
PS4,2016,Fighting,0.35,0.26,0.08,0.13,0.82
PS3,2015,Sports,0.56,0.11,0,0.15,0.82
PS4,2013,Sports,0.62,0.13,0,0.07,0.82
PS3,2013,Sports,0.75,0,0,0.06,0.8
X360,2013,Shooter,0.36,0.37,0,0.07,0.8
PS3,2015,Sports,0.44,0.19,0.03,0.13,0.8
WiiU,2013,Sports,0.39,0.22,0.13,0.06,0.8
3DS,2014,RPG,0,0,0.79,0,0.79
3DS,2013,Puzzle,0,0.48,0.25,0.06,0.78
PS4,2015,Sports,0.13,0.42,0.13,0.1,0.78
XOne,2013,Sports,0.67,0.05,0,0.05,0.77
PSV,2014,RPG,0.22,0.14,0.32,0.1,0.77
PS3,2014,Shooter,0.22,0.4,0.01,0.14,0.76
PS4,2014,Sports,0.09,0.43,0.11,0.13,0.76
Wii,2014,Sports,0.24,0.46,0,0.06,0.76
X360,2014,RPG,0.48,0.2,0.01,0.06,0.76
PC,2013,Strategy,0.12,0.53,0,0.11,0.76
PSV,2013,Adventure,0.17,0.39,0,0.19,0.75
X360,2014,Shooter,0.46,0.22,0.01,0.06,0.75
PS3,2014,Platform,0.2,0.43,0.01,0.11,0.75
3DS,2015,RPG,0.16,0.3,0.25,0.04,0.74
PC,2013,Shooter,0.23,0.41,0,0.09,0.73
PC,2014,RPG,0.32,0.34,0,0.07,0.73
PS4,2014,RPG,0.32,0.22,0.08,0.1,0.72
PS3,2013,Sports,0.66,0,0,0.05,0.71
3DS,2014,RPG,0.33,0.07,0.27,0.04,0.71
PS4,2015,RPG,0.29,0.25,0.06,0.11,0.71
PC,2013,Sports,0,0.6,0,0.1,0.71
PS3,2013,Shooter,0.3,0.29,0,0.11,0.71
PS3,2014,Sports,0.15,0.39,0.01,0.16,0.71
X360,2014,Sports,0.38,0.26,0,0.06,0.69
PS3,2015,Adventure,0.25,0.33,0,0.11,0.69
DS,2013,Platform,0.28,0.35,0,0.06,0.69
XOne,2014,Shooter,0.39,0.23,0,0.06,0.68
WiiU,2013,Platform,0.26,0.33,0.03,0.06,0.68
PS4,2014,Shooter,0.22,0.33,0,0.13,0.68
XOne,2016,Shooter,0.39,0.23,0,0.06,0.68
XOne,2015,Racing,0.3,0.33,0,0.06,0.68
XOne,2013,Racing,0.45,0.17,0,0.05,0.67
XOne,2014,Shooter,0.33,0.28,0,0.06,0.67
PC,2015,RPG,0.2,0.42,0,0.05,0.67
PC,2013,Shooter,0.28,0.3,0,0.08,0.67
PS4,2015,Adventure,0.23,0.33,0,0.11,0.67
PS3,2014,Shooter,0.25,0.26,0.05,0.11,0.67
PS3,2013,Platform,0.14,0.38,0,0.14,0.66
PS4,2015,Racing,0.09,0.44,0.03,0.09,0.66
PS4,2014,Sports,0.58,0,0,0.07,0.65
PS3,2014,RPG,0.26,0.23,0.05,0.1,0.65
PC,2013,Shooter,0.17,0.39,0,0.09,0.64
XOne,2014,RPG,0.35,0.24,0,0.05,0.64
PS3,2013,Shooter,0.2,0.31,0,0.13,0.64
XOne,2016,Sports,0.54,0.04,0,0.07,0.64
X360,2013,Shooter,0.46,0.12,0,0.05,0.64
PS3,2013,Racing,0.01,0.45,0.03,0.15,0.63
XOne,2014,Racing,0.24,0.34,0,0.05,0.63
3DS,2016,RPG,0,0,0.63,0,0.63
PC,2014,Shooter,0.15,0.42,0,0.05,0.62
PS3,2014,Sports,0.1,0.23,0.22,0.08,0.62
XOne,2015,Shooter,0.36,0.2,0,0.06,0.62
PS4,2015,Sports,0.35,0.15,0,0.11,0.61
PS4,2014,Shooter,0.21,0.29,0.01,0.11,0.61
WiiU,2013,Platform,0.4,0.15,0,0.06,0.6
X360,2013,Shooter,0.33,0.21,0,0.05,0.59
PS3,2015,RPG,0.05,0.09,0.42,0.03,0.59
PS4,2015,RPG,0.2,0.22,0.08,0.08,0.59
PS4,2014,Sports,0.3,0.18,0,0.1,0.58
XOne,2014,Sports,0.3,0.22,0.02,0.04,0.58
XOne,2015,Sports,0.31,0.22,0,0.05,0.58
PC,2014,Shooter,0.21,0.3,0,0.07,0.58
3DS,2013,Platform,0.27,0.26,0,0.05,0.58
PS3,2013,Fighting,0.05,0.02,0.5,0.01,0.58
PS3,2015,Sports,0.21,0.27,0,0.09,0.58
3DS,2013,RPG,0.28,0,0.27,0.02,0.57
X360,2013,Shooter,0.38,0.15,0,0.04,0.57
PS3,2013,Sports,0.28,0.19,0,0.09,0.57
3DS,2015,RPG,0.26,0.14,0.12,0.04,0.56
XOne,2014,Sports,0.28,0.23,0,0.04,0.56
PSV,2013,RPG,0.18,0.09,0.22,0.06,0.56
PS3,2015,Fighting,0.15,0.2,0.14,0.07,0.55
X360,2014,RPG,0.35,0.16,0,0.05,0.55
PS3,2013,Platform,0.35,0.13,0,0.08,0.55
XOne,2015,Adventure,0.29,0.21,0,0.05,0.54
PS3,2013,RPG,0.21,0.13,0.13,0.06,0.54
X360,2013,Sports,0.4,0.1,0,0.04,0.54
PC,2015,Shooter,0.13,0.37,0,0.04,0.54
PS3,2013,RPG,0.25,0.07,0.17,0.05,0.53
WiiU,2015,Platform,0.23,0.14,0.12,0.04,0.53
PS3,2013,Shooter,0.28,0.17,0,0.08,0.53
3DS,2014,RPG,0.15,0.07,0.28,0.02,0.52
X360,2013,Fighting,0.29,0.17,0.01,0.04,0.51
PC,2015,Strategy,0.18,0.29,0,0.04,0.51
PS4,2014,RPG,0.17,0.23,0.02,0.09,0.51
PS3,2014,Shooter,0.14,0.25,0.02,0.09,0.51
X360,2015,Sports,0.27,0.19,0,0.04,0.5
PSV,2013,Sports,0.11,0.25,0.01,0.13,0.5
XOne,2014,Shooter,0.22,0.24,0,0.04,0.5
3DS,2013,Platform,0.24,0.15,0.07,0.03,0.49
PS3,2014,Racing,0.07,0.31,0.02,0.08,0.49
PS3,2015,Shooter,0.12,0.23,0.07,0.07,0.49
3DS,2014,Sports,0.15,0.14,0.17,0.03,0.48
PC,2014,Simulation,0,0.43,0,0.05,0.48
X360,2014,RPG,0.25,0.19,0.01,0.04,0.48
3DS,2015,RPG,0.16,0.11,0.18,0.03,0.47
PS3,2014,Fighting,0.15,0.16,0.09,0.08,0.47
X360,2014,Sports,0.14,0.28,0,0.04,0.47
XOne,2015,Sports,0.37,0.05,0,0.05,0.47
X360,2013,Sports,0.44,0,0,0.03,0.47
X360,2014,Sports,0.35,0.07,0,0.04,0.47
PC,2014,Shooter,0.12,0.29,0,0.05,0.46
XOne,2014,Sports,0.3,0.12,0,0.04,0.46
PS3,2015,Simulation,0.11,0.28,0,0.07,0.46
PSV,2015,RPG,0.08,0.1,0.23,0.05,0.46
X360,2013,Platform,0.19,0.23,0,0.04,0.46
3DS,2015,Puzzle,0.05,0.05,0.34,0.01,0.46
PSV,2013,RPG,0.15,0.13,0.09,0.08,0.45
PS4,2014,Adventure,0.12,0.25,0.01,0.08,0.45
PS4,2016,Shooter,0.17,0.21,0,0.07,0.45
PS3,2015,Sports,0.08,0.18,0.15,0.05,0.45
PSV,2013,RPG,0,0,0.45,0,0.45
3DS,2014,Sports,0.09,0.33,0,0.03,0.45
WiiU,2015,Sports,0.13,0.16,0.13,0.03,0.45
PS3,2013,Shooter,0.21,0.15,0,0.08,0.44
XOne,2016,Shooter,0.26,0.15,0,0.04,0.44
PC,2013,Sports,0.01,0.36,0,0.06,0.43
PS4,2014,Racing,0.13,0.21,0.01,0.08,0.43
PC,2016,Shooter,0.22,0.18,0,0.04,0.43
Wii,2013,Sports,0,0.38,0,0.05,0.43
3DS,2013,RPG,0.22,0.13,0.04,0.04,0.42
PS3,2015,Shooter,0.16,0.17,0.02,0.06,0.41
X360,2014,Shooter,0.18,0.19,0,0.04,0.41
X360,2015,Simulation,0.21,0.16,0,0.04,0.41
PC,2014,Shooter,0.14,0.23,0,0.04,0.41
XOne,2015,Shooter,0.24,0.13,0,0.04,0.41
3DS,2014,Simulation,0,0.13,0.26,0.01,0.4
WiiU,2013,RPG,0,0,0.4,0,0.4
XOne,2014,Sports,0.31,0.06,0,0.03,0.4
XOne,2016,Sports,0.23,0.14,0,0.04,0.4
WiiU,2014,Sports,0.19,0.14,0.04,0.03,0.4
WiiU,2013,Platform,0.24,0.12,0.01,0.03,0.4
X360,2015,Adventure,0.17,0.19,0,0.03,0.4
PS3,2013,Racing,0.07,0.23,0.01,0.09,0.39
PS3,2013,Adventure,0.31,0.01,0.03,0.05,0.39
PS3,2015,Sports,0.3,0.01,0,0.07,0.39
PS3,2013,Sports,0.16,0.15,0,0.07,0.39
X360,2013,Simulation,0.22,0.13,0,0.03,0.39
PS3,2014,Sports,0.35,0,0,0.04,0.39
PSV,2013,RPG,0.16,0.05,0.12,0.05,0.38
PSV,2015,RPG,0,0.01,0.37,0,0.38
X360,2015,Shooter,0.22,0.12,0,0.03,0.38
PS3,2014,Sports,0.21,0.11,0,0.06,0.38
XOne,2016,Racing,0.15,0.2,0,0.03,0.38
3DS,2013,Adventure,0,0,0.38,0,0.38
PS4,2015,RPG,0.16,0.15,0.02,0.06,0.38
PS3,2016,Sports,0.02,0.29,0.01,0.05,0.38
PS3,2014,Fighting,0,0,0.38,0,0.38
PS3,2014,Shooter,0.12,0.19,0,0.07,0.37
PS4,2016,Adventure,0.14,0.15,0.03,0.06,0.37
PC,2016,Shooter,0.2,0.14,0,0.03,0.37
PC,2014,Strategy,0.11,0.22,0,0.03,0.37
PS4,2013,Platform,0.2,0.12,0,0.05,0.37
X360,2013,Sports,0.21,0.13,0,0.03,0.36
PS3,2013,Shooter,0.04,0.03,0.27,0.02,0.36
PSV,2013,Fighting,0.13,0.02,0.16,0.05,0.36
WiiU,2013,Shooter,0.23,0.09,0.01,0.03,0.36
PC,2013,Strategy,0.06,0.25,0,0.05,0.36
PS3,2013,Shooter,0.19,0.11,0,0.05,0.36
XOne,2016,RPG,0.23,0.09,0,0.03,0.35
3DS,2014,RPG,0.08,0.04,0.23,0.01,0.35
WiiU,2016,Shooter,0.16,0.1,0.07,0.03,0.35
Wii,2013,Strategy,0.21,0.1,0,0.03,0.35
PS3,2013,Shooter,0.05,0.19,0.03,0.07,0.35
PS4,2015,Simulation,0.1,0.2,0,0.05,0.35
XOne,2014,Platform,0.13,0.18,0,0.03,0.34
3DS,2013,Strategy,0.15,0.15,0,0.03,0.34
XOne,2013,Simulation,0.18,0.13,0,0.03,0.34
PS4,2016,RPG,0,0,0.34,0,0.34
X360,2015,Shooter,0.17,0.14,0,0.03,0.34
PS4,2015,Fighting,0.09,0.13,0.08,0.04,0.33
PS4,2016,RPG,0.1,0.18,0,0.05,0.33
PS3,2014,Fighting,0.1,0.11,0.06,0.05,0.33
X360,2013,Racing,0.01,0.28,0,0.03,0.33
PS3,2013,Strategy,0.1,0.17,0,0.06,0.33
3DS,2015,Fighting,0.12,0.03,0.16,0.02,0.33
XOne,2014,Shooter,0.19,0.11,0,0.03,0.33
PS3,2014,Fighting,0.04,0.06,0.2,0.02,0.32
X360,2014,Shooter,0.16,0.14,0,0.03,0.32
PS4,2016,Racing,0.03,0.24,0,0.05,0.32
PS4,2016,Platform,0.1,0.14,0.02,0.06,0.32
XOne,2015,Fighting,0.18,0.11,0,0.03,0.31
PS3,2014,Shooter,0.1,0.15,0,0.06,0.31
3DS,2014,Strategy,0,0,0.31,0,0.31
PS4,2016,Shooter,0.05,0.19,0.03,0.04,0.31
PC,2015,Simulation,0,0.29,0,0.02,0.31
PSV,2013,RPG,0.08,0.05,0.14,0.04,0.31
XOne,2013,Platform,0.22,0.06,0,0.02,0.31
3DS,2013,Adventure,0.18,0.1,0,0.03,0.31
X360,2014,Shooter,0.15,0.13,0,0.03,0.3
PS3,2013,RPG,0.1,0,0.19,0.02,0.3
PS4,2015,Simulation,0.05,0.16,0.05,0.04,0.3
PC,2014,Sports,0,0.27,0,0.03,0.3
PSV,2014,RPG,0,0,0.3,0,0.3
PS4,2016,RPG,0.06,0.07,0.14,0.02,0.3
PSV,2016,RPG,0,0,0.3,0,0.3
DS,2020,Simulation,0.27,0,0,0.02,0.29
PS3,2013,Shooter,0.08,0.16,0,0.05,0.29
X360,2013,Strategy,0.16,0.11,0,0.03,0.29
X360,2013,Racing,0.08,0.17,0,0.03,0.29
X360,2013,RPG,0.15,0.1,0.01,0.02,0.29
PC,2014,Shooter,0.11,0.15,0,0.03,0.29
PS3,2013,Fighting,0.13,0,0.14,0.02,0.29
PC,2016,RPG,0.14,0.12,0,0.02,0.29
PS4,2016,Fighting,0.1,0.08,0.07,0.04,0.28
PS4,2016,Sports,0.01,0.16,0.09,0.03,0.28
WiiU,2013,Racing,0.14,0.12,0,0.02,0.28
XOne,2016,Fighting,0.19,0.06,0,0.03,0.28
PSV,2013,Platform,0.16,0.06,0,0.05,0.28
PS3,2013,Shooter,0.11,0.11,0.01,0.05,0.28
PS4,2016,Sports,0,0.21,0.03,0.03,0.28
PS3,2013,Platform,0.11,0.1,0.02,0.04,0.28
Wii,2014,Adventure,0.05,0.2,0,0.02,0.27
PS4,2015,RPG,0.09,0.12,0.02,0.04,0.27
PS4,2015,RPG,0.1,0.08,0.06,0.04,0.27
PS4,2014,Adventure,0.08,0.14,0,0.05,0.27
PC,2013,Racing,0.04,0.19,0,0.04,0.27
X360,2015,Fighting,0.16,0.08,0,0.02,0.27
PS4,2016,Racing,0.01,0.21,0.01,0.04,0.27
3DS,2016,Adventure,0,0,0.27,0,0.27
PS4,2015,Shooter,0.09,0.14,0,0.04,0.27
PS3,2014,Adventure,0.11,0.11,0,0.05,0.27
X360,2014,Racing,0.06,0.18,0,0.02,0.26
PSV,2014,Fighting,0,0.07,0.17,0.02,0.26
3DS,2013,Sports,0,0,0.26,0,0.26
PS3,2013,Sports,0,0,0.26,0,0.26
3DS,2013,RPG,0.1,0.01,0.14,0.01,0.26
PSV,2013,RPG,0.13,0,0.1,0.03,0.26
X360,2014,Racing,0.08,0.15,0,0.02,0.26
X360,2013,Shooter,0.16,0.07,0,0.02,0.26
PS4,2015,Platform,0.09,0.12,0,0.04,0.25
3DS,2013,Sports,0,0.23,0,0.03,0.25
PS4,2015,Fighting,0.07,0.14,0,0.04,0.25
XOne,2015,RPG,0.15,0.07,0,0.02,0.25
3DS,2015,RPG,0.11,0.02,0.1,0.01,0.25
PC,2015,Strategy,0.02,0.22,0,0.01,0.25
3DS,2014,Adventure,0.04,0.19,0,0.02,0.25
DS,2013,Simulation,0.13,0.1,0,0.02,0.25
XOne,2014,Racing,0.12,0.1,0,0.02,0.24
PSV,2014,Adventure,0.11,0.03,0.06,0.05,0.24
XOne,2015,Racing,0.08,0.15,0,0.02,0.24
3DS,2013,Platform,0.1,0.12,0,0.02,0.24
3DS,2015,RPG,0.16,0.01,0.05,0.02,0.24
3DS,2015,Platform,0.09,0.08,0.06,0.02,0.24
PSP,2013,RPG,0,0,0.24,0,0.24
X360,2013,Shooter,0.1,0.12,0,0.02,0.24
PS4,2014,Adventure,0.1,0.09,0.01,0.04,0.24
3DS,2015,RPG,0.09,0.01,0.12,0.01,0.23
DS,2013,Platform,0,0.21,0,0.02,0.23
PC,2015,Strategy,0.09,0.13,0,0.02,0.23
PS4,2015,RPG,0.09,0.1,0,0.04,0.23
PSP,2013,Sports,0,0.16,0,0.07,0.23
X360,2014,Fighting,0.13,0.08,0,0.02,0.23
XOne,2015,Racing,0.08,0.13,0,0.02,0.23
PC,2015,Shooter,0,0.22,0,0.01,0.23
PS4,2014,Sports,0.15,0.04,0,0.04,0.23
PS4,2016,Sports,0.02,0.14,0,0.07,0.23
PS3,2014,RPG,0,0,0.23,0,0.23
PSP,2013,RPG,0,0,0.22,0,0.22
XOne,2015,RPG,0.13,0.07,0,0.02,0.22
PS4,2016,Shooter,0.09,0.08,0.01,0.04,0.22
PS3,2013,RPG,0.06,0.04,0.1,0.02,0.22
PS3,2013,RPG,0.05,0.04,0.12,0.02,0.22
PC,2015,Shooter,0.12,0.08,0,0.02,0.22
PS3,2014,Adventure,0.09,0.09,0,0.04,0.22
PS4,2016,RPG,0,0,0.22,0,0.22
X360,2014,Adventure,0.11,0.09,0,0.02,0.22
PS4,2016,RPG,0,0,0.22,0,0.22
WiiU,2015,RPG,0.1,0.04,0.06,0.01,0.22
PS3,2013,Shooter,0.07,0.06,0.06,0.03,0.22
3DS,2015,Strategy,0.14,0.05,0.01,0.02,0.22
PS4,2013,Sports,0.14,0.05,0,0.03,0.22
X360,2013,Shooter,0.06,0.13,0,0.02,0.22
